id,email,password_hash,created_at,role,api_key,last_login,is_active
18160bce-6293-42f4-adf5-b282ab58ba20,user_9180220@lab.internal,$2b$12$I22acOkjrZRV731gWpx3CSf3tYK9ncEODXFjx5gsgE6iS9DvpPC9u,2025-01-09T05:16:47Z,support,ak_test_9486b375fad54565a35d0a5e,2026-05-04T19:31:10Z,true
eaf2abd2-a60f-44d0-bac3-fb3fc537b1a0,user_8153634@corp.internal,$2b$12$42pPP95.WTcWLi13C91lX6saOFrGKNh7lBwD44VEDeZDcNFc.DxRX,2025-08-09T16:41:08Z,superadmin,ak_test_a08fdf0e4ce64d1d961127c3,2026-03-14T01:31:49Z,true
106546f5-073f-46b2-aa92-ea6425a8f26f,user_952364@corp.internal,$2b$12$wBg2eKZF0Wx3b1mv1ZhBrQGd7PwBl2UQPIJ40S0yAjVYBW015ufBo,2025-05-24T10:58:28Z,admin,ak_live_7e446d1991d943b7988dbf0b,2026-04-15T14:38:43Z,true
fd36dbce-463d-4886-8a7a-b79146a6a939,user_3483079@ovhcloud.com,$2b$12$1aBi9CZpwnaGaJ3IiaTREH2DtTfa3IRbfh43S9uq5KSXxQjKRxujt,2025-09-10T06:00:16Z,superadmin,ak_test_fa497869ea164bc08f0aaa8f,2026-01-15T19:08:37Z,true
55018dd8-692c-413d-924e-d288d2908f86,user_6416099@corp.internal,$2b$12$.Upv/ulhc.nR.yGPvLPp60lBH5k4nhSIjMJL7SaFZ00gWvA5P11xq,2025-08-04T13:30:46Z,billing,ak_live_020894b616ed436180a0e4ec,2026-01-16T15:56:47Z,true
8ad73037-6b5a-4f65-a628-afa7bd4d9c39,user_7177054@ovhcloud.com,$2b$12$xN3NR903IpcedAkNnHOBBSK55Z/egK82l3Jc7MXyBFNBcevVUOrqL,2025-10-26T00:07:44Z,superadmin,ak_live_a0698dade1ac43b6b02a1c2a,2026-03-21T09:49:33Z,true
45d4854d-541f-4d80-b379-2fc6813f8dfd,user_1901413@corp.internal,$2b$12$b/txi7.LIiczy2zHhhXQ6hXY2YUEHbtE2bMTNfMOvLMAHhRVGN59q,2025-05-09T21:26:23Z,viewer,ak_test_73f76d28d58846a8bb618b0c,2026-03-19T17:45:39Z,true
d9c15765-ca2e-49a6-b7b3-21516dddf305,user_589138@example.org,$2b$12$ev4cK5PhAnSPM.87TapU8pSpdIImO1hER50cJi7ydJ3rOyGtGmYIA,2025-10-20T11:20:29Z,operator,ak_test_76cc84a18a3c456c90e7442d,2026-01-27T18:51:55Z,true
0b05bad2-d6c6-4d19-a663-12c32c1dfbf1,user_8822284@lab.internal,$2b$12$wKw0AVd5Ajd0hKPE2Z6fUirVRxucc9ZawowWcAcMHCSpdswraVV7c,2025-09-16T12:03:29Z,admin,ak_live_9d33ec7db8244600a2fe7a9c,2026-03-24T15:43:09Z,true
745a0db0-5cc9-4267-8671-1aacd4fcd6b9,user_1745509@example.org,$2b$12$6SB0fGph1dpOCEpNsG4osu4fnU026TqKjvWTU/WlzmyXjiXUy1nQn,2025-08-03T14:05:34Z,superadmin,ak_live_3953bad9b6414c8ca26f7d6c,2026-03-02T20:13:52Z,true
4370fee5-86a3-4fc8-b9a7-2d089ea910bb,user_5276948@example.org,$2b$12$z3n4TUhxHs0Tskc5mfseWfyl8PkGS3VMZ63q8DQD5bvBoCvJqhqia,2025-10-17T13:43:52Z,billing,ak_live_6a7cb606f84e4b7280d0b088,2026-02-04T18:19:37Z,true
44c54010-be90-432c-9fce-f3fb41df64ba,user_727092@example.org,$2b$12$oPCzg2Fh0jbgNQMjF8rlRF56z2zVnPlTSmiV4nWTF.wQgxtCMxHNA,2025-08-16T23:45:16Z,viewer,ak_live_27185d45510d43b8840cf33d,2026-04-17T02:44:43Z,true
dfbbe883-9f73-4976-aafd-96a903a16e5e,user_9648281@corp.internal,$2b$12$hJCg6uSgQu63cMTV9CfWSyGbPMsFDwkM/iN9OtfgWY4VR7VYj0cwS,2025-11-03T10:51:58Z,superadmin,ak_test_c228409e55704eb88e74cee7,2026-02-20T13:31:05Z,true
68069d48-520c-4087-be52-2a8545621262,user_1228124@lab.internal,$2b$12$Di8QiONxYLFb2EjyDTlsrD6HuugPTMTftV0gSXbRZkDRN1Ox/sXP.,2025-10-20T06:11:58Z,viewer,ak_live_ed2b6361ffce436691e2f1f5,2026-04-25T16:56:48Z,true
2e291e96-d4b9-4013-897b-62184c493bbf,user_7789656@corp.internal,$2b$12$4sfRr2ug5KtXlkOeidJD651EXY2xwU7t.aTUcCBkLqWht1n/AHp6G,2025-03-05T07:16:53Z,api_user,ak_live_7bf15ecd72664820a87bf8fd,2026-02-05T19:28:51Z,false
62598563-2123-48e7-804e-51e3e92f6212,user_3890399@lab.internal,$2b$12$LjpXAmPWgOK2lRYW.c4JNu9dZCVjIVVvSkQai.HHGjlrlc8KcT4sg,2025-08-19T14:32:12Z,api_user,ak_live_65a2a233ebe046e4b4815357,2026-01-04T21:29:39Z,true
fbc6c96b-cf10-413b-bcba-10fa2c6ff7e1,user_3198947@corp.internal,$2b$12$ce4USRlJGYKKEjIF2BNdHjGgH70Kr2DmvHTyUVVQzEyFUDMEnGDNx,2025-05-16T09:47:29Z,admin,ak_live_eb7162a5f5eb42539f826dc4,2026-01-12T00:20:16Z,true
7ce545f2-818c-40c3-b6eb-bc3895001ff2,user_4268178@corp.internal,$2b$12$w9kzu/WS6EX9ldg6elFxSca3hNRpQ/3INqBS.X7IuliIHhlwV7CG1,2025-09-13T21:33:16Z,api_user,ak_live_7e36c998e94643cfa9c01948,2026-01-23T20:29:57Z,true
0c7a6dac-2979-4ee8-b22a-a4c47306adcf,user_5257777@corp.internal,$2b$12$/fTDXte5Dx7cEayyS2NJpElJY2UkYrIo.rf2yJf4PhV5EY1RJKom.,2025-12-01T16:49:21Z,operator,ak_live_6e36cb1f842a41a6b89f12f8,2026-04-06T04:31:16Z,false
b4016c82-68da-44cf-a88f-d6a09642ed75,user_6171094@corp.internal,$2b$12$pcsXuRfZ9kcYIBVbz.92GFPoN.QH9mLR4OCK5BnKZCSA1PDDamkEO,2025-07-22T20:56:38Z,superadmin,ak_test_820cd3876c6c44ba9c333201,2026-05-10T03:31:01Z,true
87a62a9a-7c8f-4edf-9804-f6c649b9f9ae,user_2183438@lab.internal,$2b$12$SQvjP1s7xQ7cDGQVoZ.zAy4LwfChbXHoNk7D.VqzD7ET7bGEyIPRR,2025-07-03T15:49:47Z,support,ak_live_213db49d9c1c4fd5b3b24283,2026-05-09T04:52:15Z,false
28697653-d436-4413-a0ba-fa831c46bb1f,user_3395471@lab.internal,$2b$12$VuBTmdbILscOVPJVaIvIlH.cvA2PM3gfUYamW/5ULGab/C8azo5v2,2025-06-16T21:00:59Z,admin,ak_live_7dd09032f30b450888ef6c5d,2026-05-03T19:32:15Z,true
49e7331b-da9e-432d-99ee-bac8b323dbcc,user_8896706@ovhcloud.com,$2b$12$NFMDGd.Eo39Px.8xn82T0UW0iBOtQS3j1Iw4yXeJlez4l9hS/SxB1,2025-11-23T19:05:20Z,viewer,ak_live_bf2dfec241704b78b21269a9,2026-03-16T13:35:24Z,false
